Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R811,0R,R_0402_1005Metric,143.776700,-106.690300,90.000000,top
R812,NULL,R_0402_1005Metric,142.379700,-86.664800,0.000000,top
R813,10k,R_0402_1005Metric,142.379700,-85.648800,180.000000,top
R814,47k,R_0402_1005Metric,238.074200,-95.427800,180.000000,top
R815,47k,R_0402_1005Metric,238.074200,-94.411800,180.000000,top
R816,47k,R_0402_1005Metric,240.550700,-101.650800,180.000000,top
R817,47k,R_0402_1005Metric,240.550700,-100.634800,180.000000,top
R818,47k,R_0402_1005Metric,240.550700,-99.618800,180.000000,top
R819,10k,R_0402_1005Metric,238.074200,-93.395800,180.000000,top
R820,4k7,R_0402_1005Metric,177.622200,-110.309800,270.000000,top
R821,4k7,R_0402_1005Metric,177.622200,-106.095800,90.000000,top
R822,4k7,R_0402_1005Metric,187.464700,-83.235800,90.000000,top
R823,4k7,R_0402_1005Metric,187.464700,-81.267300,270.000000,top
R824,10k,R_0402_1005Metric,197.942200,-83.172300,0.000000,top
R825,10k,R_0402_1005Metric,204.482700,-83.235800,0.000000,top
R826,1k5,R_0402_1005Metric,240.106200,-106.603800,90.000000,top
R827,1k5,R_0402_1005Metric,240.487200,-94.792800,90.000000,top
R828,4k7,R_0402_1005Metric,136.283700,-103.873300,90.000000,top
R829,4k7,R_0402_1005Metric,136.283700,-101.904800,270.000000,top
R830,10k,R_0402_1005Metric,131.013200,-99.809300,90.000000,top
R831,NULL,R_0402_1005Metric,140.220700,-98.348800,0.000000,top
R832,10k,R_0402_1005Metric,140.220700,-97.332800,180.000000,top
R833,10k,R_0402_1005Metric,140.855700,-100.825300,0.000000,top
R834,NULL,R_0402_1005Metric,140.855700,-99.809300,180.000000,top
R835,NULL,R_0402_1005Metric,174.320200,-101.904800,180.000000,top
R836,10k,R_0402_1005Metric,174.320200,-102.920800,0.000000,top
R901,10k,R_0402_1005Metric,101.295200,-115.112800,180.000000,top
R902,10k,R_0402_1005Metric,88.341200,-115.112800,180.000000,top
R903,10k,R_0402_1005Metric,75.387200,-115.112800,180.000000,top
R904,1k,R_0402_1005Metric,100.914200,-117.675800,270.000000,top
R905,1k,R_0402_1005Metric,87.960200,-117.652800,270.000000,top
R906,1k,R_0402_1005Metric,75.006200,-117.652800,270.000000,top
R907,10k,R_0402_1005Metric,96.977200,-115.112800,180.000000,top
R908,10k,R_0402_1005Metric,84.023200,-115.112800,180.000000,top
R909,10k,R_0402_1005Metric,71.069200,-115.112800,180.000000,top
R910,1k,R_0402_1005Metric,96.596200,-117.652800,270.000000,top
R911,1k,R_0402_1005Metric,83.642200,-117.652800,270.000000,top
R912,1k,R_0402_1005Metric,70.688200,-117.652800,270.000000,top
R913,10k,R_0402_1005Metric,92.659200,-115.112800,180.000000,top
R914,10k,R_0402_1005Metric,79.705200,-115.112800,180.000000,top
R915,10k,R_0402_1005Metric,66.751200,-115.112800,180.000000,top
R916,1k,R_0402_1005Metric,92.278200,-117.629800,270.000000,top
R917,1k,R_0402_1005Metric,79.324200,-117.652800,270.000000,top
R918,1k,R_0402_1005Metric,66.370200,-117.652800,270.000000,top
TH201,NTC,R_0402_1005Metric,69.989700,-95.745300,90.000000,top
TH202,NTC,R_0402_1005Metric,74.498200,-107.238800,90.000000,top
TH203,NTC,R_0402_1005Metric,54.305200,-79.806800,90.000000,top
U201,TPS62130,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,72.720200,-97.967800,90.000000,top
U202,TPS62130,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,72.720200,-104.063800,90.000000,top
U301,EEPROM,SO-8_3.9x4.9mm_P1.27mm,196.735700,-78.917800,180.000000,top
U302,EEPROM,SO-8_3.9x4.9mm_P1.27mm,203.212700,-78.946300,180.000000,top
U303,FRAM_MB85RC16,SOP-8_3.9x4.9mm_P1.27mm,126.758700,-101.206300,270.000000,top
U801,STM32F407IGTx,LQFP-176_24x24mm_P0.5mm,157.861200,-92.628800,0.000000,top
