Designator,Val,Mid X,Mid Y,Rotation,Layer
R153,10k,96.583500,-108.077000,90.000000,top
R154,10k,99.631500,-101.600000,90.000000,top
R155,10k,99.631500,-108.077000,270.000000,top
R156,1k,76.771500,-24.765000,180.000000,top
R157,1k,76.771500,-32.893000,180.000000,top
R158,10k,76.771500,-26.289000,0.000000,top
R159,10k,76.746000,-31.369000,0.000000,top
R160,0,76.771500,-52.705000,0.000000,top
R161,0,76.746000,-58.039000,180.000000,top
R162,10k,101.816000,-22.479000,180.000000,top
R163,20,147.637500,-117.602000,180.000000,top
R164,20,147.637500,-114.554000,180.000000,top
R165,20,147.637500,-119.126000,180.000000,top
R166,20,147.637500,-116.078000,180.000000,top
R167,20,147.663000,-113.030000,180.000000,top
R168,20,147.663000,-111.506000,0.000000,top
R169,330,159.677000,-98.869500,180.000000,top
R170,10k,36.728500,-125.666500,180.000000,top
R171,100,41.999000,-129.603500,180.000000,top
TH1,NTC_100k,76.009500,-111.379000,270.000000,top
TH2,NTC_100k,87.462500,-136.398000,0.000000,top
U1,ADP2302ARDZ-3.3,84.961500,-139.954000,0.000000,top
U2,AZ1117-5.0,70.929500,-118.872000,0.000000,top
U3,EEPROM,114.109500,-64.770000,270.000000,top
U4,EEPROM,120.713500,-64.770000,270.000000,top
U7,STM32F103VETx,129.113500,-99.111000,0.000000,top
Y1,8-16MHz,113.728500,-98.514000,270.000000,top
